909.48,1128.67,0.0
1047.99,1160.53,0.0,50.0
1048.8,1160.89,0.0,50.0
1049.61,1161.24,0.0,50.0
1050.82,1161.77,0.0,50.0
1051.63,1162.13,0.0,50.0
1052.44,1162.48,0.0,50.0
1053.25,1162.84,0.0,50.0
1054.06,1163.2,0.0,50.0
1055.27,1163.73,0.0,50.0
1056.08,1164.09,0.0,50.0
1056.88,1164.45,0.0,50.0
1057.69,1164.81,0.0,50.0
1058.5,1165.17,0.0,50.0
1059.3,1165.53,0.0,50.0
1060.51,1166.06,0.0,50.0
1061.32,1166.41,0.0,50.0
1062.13,1166.77,0.0,50.0
1062.94,1167.12,0.0,50.0
1063.75,1167.46,0.0,50.0
1064.57,1167.81,0.0,50.0
1065.78,1168.32,0.0,50.0
1066.6,1168.66,0.0,50.0
1067.41,1168.99,0.0,50.0
1068.23,1169.32,0.0,50.0
1069.05,1169.65,0.0,50.0
1069.87,1169.98,0.0,50.0
1071.09,1170.46,0.0,50.0
1071.91,1170.78,0.0,50.0
1072.74,1171.09,0.0,50.0
1073.56,1171.4,0.0,50.0
1074.39,1171.71,0.0,50.0
1075.21,1172.02,0.0,50.0
1076.04,1172.32,0.0,50.0
1077.28,1172.77,0.0,50.0
1078.11,1173.06,0.0,50.0
1078.94,1173.35,0.0,50.0
1079.78,1173.64,0.0,50.0
1080.61,1173.92,0.0,50.0
1081.45,1174.2,0.0,50.0
1082.28,1174.47,0.0,50.0
1083.12,1174.74,0.0,50.0
1084.38,1175.14,0.0,50.0
1086.07,1175.64,0.0,50.0
1086.49,1175.77,0.0,50.0
1087.33,1176.01,0.0,50.0
1087.76,1176.13,0.0,50.0
1088.6,1176.36,0.0,50.0
1089.45,1176.6,0.0,50.0
1090.31,1176.82,0.0,50.0
1091.16,1177.04,0.0,50.0
1092.02,1177.26,0.0,50.0
1093.3,1177.57,0.0,50.0
1094.16,1177.78,0.0,50.0
1095.02,1177.98,0.0,50.0
1095.88,1178.18,0.0,50.0
1096.74,1178.37,0.0,50.0
1097.6,1178.56,0.0,50.0
1098.46,1178.75,0.0,50.0
1099.32,1178.93,0.0,50.0
1100.18,1179.12,0.0,50.0
1101.05,1179.29,0.0,50.0
1101.91,1179.47,0.0,50.0
1102.78,1179.64,0.0,50.0
1103.65,1179.81,0.0,50.0
1104.52,1179.97,0.0,50.0
1105.38,1180.13,0.0,50.0
1105.82,1180.21,0.0,50.0
1106.69,1180.37,0.0,50.0
1107.56,1180.52,0.0,50.0
1108.43,1180.66,0.0,50.0
1109.3,1180.81,0.0,50.0
1110.17,1180.94,0.0,50.0
1111.04,1181.08,0.0,50.0
1111.91,1181.21,0.0,50.0
1112.79,1181.34,0.0,50.0
1113.66,1181.47,0.0,50.0
1114.53,1181.6,0.0,50.0
1115.4,1181.72,0.0,50.0
1116.28,1181.84,0.0,50.0
1117.15,1181.95,0.0,50.0
1118.03,1182.07,0.0,50.0
1118.9,1182.18,0.0,50.0
1119.78,1182.29,0.0,50.0
1120.22,1182.35,0.0,50.0
1121.1,1182.45,0.0,50.0
1121.97,1182.55,0.0,50.0
1122.85,1182.65,0.0,50.0
1123.73,1182.75,0.0,50.0
1124.6,1182.84,0.0,50.0
1125.04,1182.89,0.0,50.0
1125.92,1182.98,0.0,50.0
1126.8,1183.07,0.0,50.0
1127.68,1183.16,0.0,50.0
1128.56,1183.24,0.0,50.0
1129.44,1183.33,0.0,50.0
1129.88,1183.37,0.0,50.0
1130.76,1183.45,0.0,50.0
1131.64,1183.53,0.0,50.0
1132.52,1183.6,0.0,50.0
1133.4,1183.68,0.0,50.0
1134.28,1183.75,0.0,50.0
1135.16,1183.82,0.0,50.0
1136.04,1183.89,0.0,50.0
1136.48,1183.93,0.0,50.0
1137.37,1184,0.0,50.0
1138.25,1184.07,0.0,50.0
1139.13,1184.13,0.0,50.0
1140.02,1184.19,0.0,50.0
1140.9,1184.26,0.0,50.0
1141.78,1184.32,0.0,50.0
1142.66,1184.38,0.0,50.0
1143.1,1184.41,0.0,50.0
1143.98,1184.47,0.0,50.0
1144.86,1184.54,0.0,50.0
1145.74,1184.6,0.0,50.0
1146.63,1184.66,0.0,50.0
1147.51,1184.72,0.0,50.0
1148.39,1184.78,0.0,50.0
1149.28,1184.84,0.0,50.0
1150.16,1184.89,0.0,50.0
1151.04,1184.95,0.0,50.0
1151.48,1184.98,0.0,50.0
1152.36,1185.03,0.0,50.0
1153.24,1185.09,0.0,50.0
1154.12,1185.14,0.0,50.0
1155.01,1185.19,0.0,50.0
1155.89,1185.24,0.0,50.0
1156.77,1185.29,0.0,50.0
1157.65,1185.34,0.0,50.0
1158.53,1185.39,0.0,50.0
1159.41,1185.44,0.0,50.0
1160.3,1185.49,0.0,50.0
1161.18,1185.54,0.0,50.0
1162.06,1185.59,0.0,50.0
1162.94,1185.64,0.0,50.0
1163.83,1185.69,0.0,50.0
1164.71,1185.73,0.0,50.0
1166.03,1185.81,0.0,50.0
1166.91,1185.86,0.0,50.0
1167.79,1185.9,0.0,50.0
1168.67,1185.95,0.0,50.0
1169.56,1186,0.0,50.0
1170.44,1186.05,0.0,50.0
1171.32,1186.1,0.0,50.0
1172.2,1186.14,0.0,50.0
1173.08,1186.19,0.0,50.0
1173.96,1186.24,0.0,50.0
1175.29,1186.31,0.0,50.0
1176.17,1186.36,0.0,50.0
1177.05,1186.41,0.0,50.0
1177.94,1186.45,0.0,50.0
1178.82,1186.5,0.0,50.0
1179.7,1186.54,0.0,50.0
1180.59,1186.59,0.0,50.0
1181.91,1186.66,0.0,50.0
1182.79,1186.7,0.0,50.0
1183.68,1186.75,0.0,50.0
1184.56,1186.8,0.0,50.0
1185.88,1186.87,0.0,50.0
1186.77,1186.91,0.0,50.0
1187.65,1186.96,0.0,50.0
1188.98,1187.02,0.0,50.0
1189.86,1187.07,0.0,50.0
1190.75,1187.11,0.0,50.0
1192.07,1187.18,0.0,50.0
1192.96,1187.22,0.0,50.0
1193.84,1187.27,0.0,50.0
1195.17,1187.33,0.0,50.0
1196.06,1187.38,0.0,50.0
1196.94,1187.42,0.0,50.0
1198.27,1187.49,0.0,50.0
1199.15,1187.53,0.0,50.0
1200.03,1187.57,0.0,50.0
1201.36,1187.64,0.0,50.0
1202.24,1187.68,0.0,50.0
1203.57,1187.75,0.0,50.0
1204.45,1187.79,0.0,50.0
1205.78,1187.86,0.0,50.0
1206.66,1187.9,0.0,50.0
1207.99,1187.96,0.0,50.0
1208.87,1188,0.0,50.0
1210.19,1188.06,0.0,50.0
1211.08,1188.1,0.0,50.0
1212.4,1188.16,0.0,50.0
1213.29,1188.19,0.0,50.0
1214.62,1188.24,0.0,50.0
1215.5,1188.28,0.0,50.0
1216.83,1188.32,0.0,50.0
1217.71,1188.35,0.0,50.0
1219.04,1188.38,0.0,50.0
1219.92,1188.41,0.0,50.0
1221.24,1188.44,0.0,50.0
1222.13,1188.46,0.0,50.0
1223.45,1188.48,0.0,50.0
1224.34,1188.5,0.0,50.0
1225.66,1188.52,0.0,50.0
1226.55,1188.53,0.0,50.0
1227.87,1188.54,0.0,50.0
1228.76,1188.54,0.0,50.0
1230.09,1188.55,0.0,50.0
1231.41,1188.55,0.0,50.0
1232.29,1188.54,0.0,50.0
1233.62,1188.54,0.0,50.0
1234.5,1188.53,0.0,50.0
1235.83,1188.52,0.0,50.0
1236.71,1188.51,0.0,50.0
1238.04,1188.5,0.0,50.0
1238.92,1188.49,0.0,50.0
1240.25,1188.47,0.0,50.0
1241.13,1188.46,0.0,50.0
1242.46,1188.44,0.0,50.0
1243.34,1188.42,0.0,50.0
1244.67,1188.4,0.0,50.0
1245.55,1188.38,0.0,50.0
1246.88,1188.36,0.0,50.0
1247.76,1188.34,0.0,50.0
1249.09,1188.31,0.0,50.0
1249.97,1188.29,0.0,50.0
1251.29,1188.26,0.0,50.0
1252.18,1188.23,0.0,50.0
1253.5,1188.2,0.0,50.0
1254.39,1188.17,0.0,50.0
1255.72,1188.13,0.0,50.0
1256.6,1188.1,0.0,50.0
1257.92,1188.06,0.0,50.0
1258.81,1188.03,0.0,50.0
1260.13,1187.99,0.0,50.0
1261.02,1187.96,0.0,50.0
1262.34,1187.92,0.0,50.0
1263.23,1187.89,0.0,50.0
1264.56,1187.85,0.0,50.0
1265.44,1187.82,0.0,50.0
1266.76,1187.78,0.0,50.0
1268.09,1187.74,0.0,50.0
1268.97,1187.71,0.0,50.0
1270.3,1187.67,0.0,50.0
1271.18,1187.64,0.0,50.0
1272.51,1187.6,0.0,50.0
1273.83,1187.56,0.0,50.0
1275.16,1187.51,0.0,50.0
1276.04,1187.49,0.0,50.0
1277.37,1187.44,0.0,50.0
1278.69,1187.4,0.0,50.0
1279.58,1187.38,0.0,50.0
1280.9,1187.34,0.0,50.0
1282.23,1187.29,0.0,50.0
1283.12,1187.27,0.0,50.0
1284.44,1187.22,0.0,50.0
1285.76,1187.17,0.0,50.0
1286.65,1187.13,0.0,50.0
1287.97,1187.07,0.0,50.0
1289.3,1187.01,0.0,50.0
1290.18,1186.96,0.0,50.0
1291.5,1186.89,0.0,50.0
1292.38,1186.84,0.0,50.0
1293.71,1186.76,0.0,50.0
1295.03,1186.68,0.0,50.0
1295.91,1186.62,0.0,50.0
1297.23,1186.52,0.0,50.0
1298.11,1186.46,0.0,50.0
1299,1186.4,0.0,50.0
1300.32,1186.3,0.0,50.0
1301.2,1186.23,0.0,50.0
1302.53,1186.12,0.0,50.0
1303.41,1186.05,0.0,50.0
1304.29,1185.98,0.0,50.0
1305.17,1185.9,0.0,50.0
1306.49,1185.79,0.0,50.0
1307.37,1185.71,0.0,50.0
1308.25,1185.63,0.0,50.0
1309.13,1185.55,0.0,50.0
1310.01,1185.46,0.0,50.0
1311.33,1185.34,0.0,50.0
1312.21,1185.25,0.0,50.0
1313.09,1185.16,0.0,50.0
1313.96,1185.08,0.0,50.0
1314.84,1184.98,0.0,50.0
1315.72,1184.89,0.0,50.0
1316.6,1184.81,0.0,50.0
1317.48,1184.71,0.0,50.0
1318.37,1184.62,0.0,50.0
1319.25,1184.53,0.0,50.0
1319.68,1184.48,0.0,50.0
1320.56,1184.39,0.0,50.0
1321.44,1184.3,0.0,50.0
1322.32,1184.21,0.0,50.0
1323.2,1184.12,0.0,50.0
1324.08,1184.03,0.0,50.0
1324.96,1183.93,0.0,50.0
1325.84,1183.85,0.0,50.0
1326.72,1183.76,0.0,50.0
1327.6,1183.66,0.0,50.0
1328.48,1183.58,0.0,50.0
1329.36,1183.48,0.0,50.0
1329.8,1183.44,0.0,50.0
1330.68,1183.35,0.0,50.0
1331.56,1183.26,0.0,50.0
1332.44,1183.17,0.0,50.0
1333.32,1183.08,0.0,50.0
1334.2,1182.99,0.0,50.0
1335.08,1182.9,0.0,50.0
1335.96,1182.81,0.0,50.0
1336.84,1182.72,0.0,50.0
1337.72,1182.64,0.0,50.0
1338.16,1182.59,0.0,50.0
1339.04,1182.51,0.0,50.0
1339.91,1182.42,0.0,50.0
1340.79,1182.33,0.0,50.0
1341.67,1182.25,0.0,50.0
1342.55,1182.16,0.0,50.0
1343.43,1182.08,0.0,50.0
1344.32,1181.99,0.0,50.0
1345.2,1181.91,0.0,50.0
1346.08,1181.82,0.0,50.0
1346.52,1181.78,0.0,50.0
1347.4,1181.7,0.0,50.0
1348.28,1181.61,0.0,50.0
1349.16,1181.53,0.0,50.0
1350.04,1181.44,0.0,50.0
1350.92,1181.36,0.0,50.0
1351.8,1181.28,0.0,50.0
1352.68,1181.19,0.0,50.0
1353.56,1181.11,0.0,50.0
1354,1181.07,0.0,50.0
1354.88,1180.98,0.0,50.0
1355.76,1180.9,0.0,50.0
1356.64,1180.81,0.0,50.0
1357.52,1180.73,0.0,50.0
1358.4,1180.65,0.0,50.0
1359.28,1180.56,0.0,50.0
1359.71,1180.52,0.0,50.0
1360.6,1180.44,0.0,50.0
1361.48,1180.35,0.0,50.0
1362.36,1180.27,0.0,50.0
1363.24,1180.18,0.0,50.0
1364.12,1180.1,0.0,50.0
1364.56,1180.06,0.0,50.0
1365.44,1179.97,0.0,50.0
1366.32,1179.89,0.0,50.0
1367.2,1179.81,0.0,50.0
1368.08,1179.72,0.0,50.0
1368.96,1179.64,0.0,50.0
1369.84,1179.56,0.0,50.0
1370.72,1179.48,0.0,50.0
1371.16,1179.44,0.0,50.0
1372.04,1179.36,0.0,50.0
1372.92,1179.28,0.0,50.0
1373.8,1179.2,0.0,50.0
1374.68,1179.12,0.0,50.0
1375.56,1179.04,0.0,50.0
1375.99,1179,0.0,50.0
1376.88,1178.91,0.0,50.0
1377.76,1178.83,0.0,50.0
1378.64,1178.75,0.0,50.0
1379.52,1178.67,0.0,50.0
1380.4,1178.59,0.0,50.0
1381.28,1178.5,0.0,50.0
1381.72,1178.46,0.0,50.0
1382.6,1178.38,0.0,50.0
1383.48,1178.29,0.0,50.0
1384.36,1178.2,0.0,50.0
1385.23,1178.11,0.0,50.0
1386.11,1178.02,0.0,50.0
1386.55,1177.97,0.0,50.0
1387.43,1177.88,0.0,50.0
1388.31,1177.78,0.0,50.0
1389.19,1177.68,0.0,50.0
1390.07,1177.59,0.0,50.0
1390.5,1177.54,0.0,50.0
1391.38,1177.44,0.0,50.0
1392.26,1177.35,0.0,50.0
1393.13,1177.25,0.0,50.0
1394.01,1177.15,0.0,50.0
1394.45,1177.11,0.0,50.0
1395.33,1177.01,0.0,50.0
1396.21,1176.91,0.0,50.0
1397.09,1176.81,0.0,50.0
1397.53,1176.76,0.0,50.0
1398.41,1176.66,0.0,50.0
1399.28,1176.56,0.0,50.0
1400.16,1176.45,0.0,50.0
1401.04,1176.35,0.0,50.0
1401.47,1176.29,0.0,50.0
1402.35,1176.18,0.0,50.0
1403.23,1176.08,0.0,50.0
1404.11,1175.97,0.0,50.0
1404.99,1175.86,0.0,50.0
1405.43,1175.81,0.0,50.0
1406.31,1175.7,0.0,50.0
1407.18,1175.59,0.0,50.0
1408.06,1175.48,0.0,50.0
1408.5,1175.42,0.0,50.0
1409.38,1175.31,0.0,50.0
1410.26,1175.2,0.0,50.0
1411.13,1175.09,0.0,50.0
1412.01,1174.98,0.0,50.0
1412.45,1174.93,0.0,50.0
1413.33,1174.82,0.0,50.0
1414.21,1174.7,0.0,50.0
1415.09,1174.59,0.0,50.0
1415.96,1174.48,0.0,50.0
1416.4,1174.42,0.0,50.0
1417.28,1174.31,0.0,50.0
1418.16,1174.2,0.0,50.0
1419.03,1174.09,0.0,50.0
1419.91,1173.98,0.0,50.0
1420.35,1173.92,0.0,50.0
1421.22,1173.81,0.0,50.0
1422.1,1173.7,0.0,50.0
1422.97,1173.59,0.0,50.0
1423.85,1173.47,0.0,50.0
1424.29,1173.42,0.0,50.0
1425.16,1173.31,0.0,50.0
1426.04,1173.19,0.0,50.0
1426.92,1173.08,0.0,50.0
1427.35,1173.03,0.0,50.0
1428.23,1172.91,0.0,50.0
1429.1,1172.8,0.0,50.0
1429.98,1172.69,0.0,50.0
1430.86,1172.58,0.0,50.0
1431.29,1172.52,0.0,50.0
1432.17,1172.41,0.0,50.0
1433.05,1172.3,0.0,50.0
1433.92,1172.18,0.0,50.0
1434.36,1172.13,0.0,50.0
1435.24,1172.02,0.0,50.0
1436.11,1171.91,0.0,50.0
1436.99,1171.8,0.0,50.0
1437.43,1171.74,0.0,50.0
1438.31,1171.63,0.0,50.0
1439.19,1171.52,0.0,50.0
1440.07,1171.41,0.0,50.0
1440.94,1171.3,0.0,50.0
1441.38,1171.25,0.0,50.0
1442.26,1171.14,0.0,50.0
1443.13,1171.03,0.0,50.0
1444.01,1170.91,0.0,50.0
1444.45,1170.86,0.0,50.0
1445.33,1170.74,0.0,50.0
1446.21,1170.63,0.0,50.0
1447.09,1170.52,0.0,50.0
1447.96,1170.41,0.0,50.0
1448.4,1170.35,0.0,50.0
1449.28,1170.24,0.0,50.0
1450.15,1170.13,0.0,50.0
1451.03,1170.02,0.0,50.0
1451.9,1169.9,0.0,50.0
1452.34,1169.85,0.0,50.0
1453.22,1169.74,0.0,50.0
1454.09,1169.62,0.0,50.0
1454.97,1169.51,0.0,50.0
1455.85,1169.4,0.0,50.0
1456.72,1169.28,0.0,50.0
1457.16,1169.22,0.0,50.0
1458.03,1169.11,0.0,50.0
1458.91,1169,0.0,50.0
1459.79,1168.88,0.0,50.0
1460.66,1168.77,0.0,50.0
1461.1,1168.71,0.0,50.0
1461.98,1168.6,0.0,50.0
1462.86,1168.48,0.0,50.0
1463.73,1168.37,0.0,50.0
1464.61,1168.26,0.0,50.0
1465.48,1168.14,0.0,50.0
1465.92,1168.09,0.0,50.0
1466.79,1167.97,0.0,50.0
1467.67,1167.86,0.0,50.0
1468.55,1167.74,0.0,50.0
1469.42,1167.63,0.0,50.0
1469.86,1167.57,0.0,50.0
1470.74,1167.46,0.0,50.0
1471.61,1167.35,0.0,50.0
1472.49,1167.24,0.0,50.0
1473.36,1167.12,0.0,50.0
1474.24,1167.01,0.0,50.0
1474.68,1166.96,0.0,50.0
1475.55,1166.85,0.0,50.0
1476.43,1166.73,0.0,50.0
1477.31,1166.62,0.0,50.0
1477.75,1166.57,0.0,50.0
1478.62,1166.45,0.0,50.0
1479.5,1166.34,0.0,50.0
1480.37,1166.23,0.0,50.0
1480.81,1166.17,0.0,50.0
1481.69,1166.07,0.0,50.0
1482.57,1165.95,0.0,50.0
1483.45,1165.85,0.0,50.0
1484.32,1165.74,0.0,50.0
1484.76,1165.68,0.0,50.0
1485.64,1165.58,0.0,50.0
1486.52,1165.48,0.0,50.0
1487.39,1165.38,0.0,50.0
1487.83,1165.33,0.0,50.0
1488.71,1165.22,0.0,50.0
1489.59,1165.12,0.0,50.0
1490.47,1165.02,0.0,50.0
1490.91,1164.97,0.0,50.0
1491.79,1164.88,0.0,50.0
1492.66,1164.78,0.0,50.0
1493.1,1164.73,0.0,50.0
1493.98,1164.63,0.0,50.0
1494.86,1164.53,0.0,50.0
1495.73,1164.43,0.0,50.0
1496.17,1164.38,0.0,50.0
1497.05,1164.29,0.0,50.0
1497.93,1164.19,0.0,50.0
1498.81,1164.1,0.0,50.0
1499.69,1164.01,0.0,50.0
1500.13,1163.96,0.0,50.0
1501.01,1163.87,0.0,50.0
1501.89,1163.78,0.0,50.0
1502.33,1163.73,0.0,50.0
1503.21,1163.64,0.0,50.0
1504.09,1163.56,0.0,50.0
1504.97,1163.47,0.0,50.0
1505.41,1163.43,0.0,50.0
1506.29,1163.35,0.0,50.0
1507.16,1163.27,0.0,50.0
1507.61,1163.23,0.0,50.0
1508.49,1163.15,0.0,50.0
1509.37,1163.08,0.0,50.0
1510.25,1163,0.0,50.0
1510.69,1162.96,0.0,50.0
1511.57,1162.88,0.0,50.0
1512.44,1162.8,0.0,50.0
1512.88,1162.76,0.0,50.0
1513.77,1162.69,0.0,50.0
1514.65,1162.61,0.0,50.0
1515.53,1162.53,0.0,50.0
1515.97,1162.49,0.0,50.0
1516.85,1162.42,0.0,50.0
1517.73,1162.34,0.0,50.0
1518.17,1162.31,0.0,50.0
1519.05,1162.23,0.0,50.0
1519.93,1162.16,0.0,50.0
1520.81,1162.08,0.0,50.0
1521.25,1162.05,0.0,50.0
1522.13,1161.97,0.0,50.0
1523.01,1161.9,0.0,50.0
1523.89,1161.83,0.0,50.0
1524.33,1161.79,0.0,50.0
1525.21,1161.71,0.0,50.0
1526.09,1161.64,0.0,50.0
1526.97,1161.57,0.0,50.0
1527.41,1161.53,0.0,50.0
1528.3,1161.45,0.0,50.0
1529.18,1161.38,0.0,50.0
1530.06,1161.31,0.0,50.0
1530.5,1161.27,0.0,50.0
1531.38,1161.2,0.0,50.0
1532.27,1161.12,0.0,50.0
1533.14,1161.05,0.0,50.0
1533.58,1161.01,0.0,50.0
1534.46,1160.93,0.0,50.0
1535.34,1160.86,0.0,50.0
1536.22,1160.78,0.0,50.0
1536.66,1160.74,0.0,50.0
1537.55,1160.66,0.0,50.0
1538.42,1160.58,0.0,50.0
1539.3,1160.5,0.0,50.0
1539.74,1160.46,0.0,50.0
1540.62,1160.39,0.0,50.0
1541.5,1160.31,0.0,50.0
1542.38,1160.23,0.0,50.0
1542.83,1160.19,0.0,50.0
1543.7,1160.11,0.0,50.0
1544.58,1160.03,0.0,50.0
1545.46,1159.95,0.0,50.0
1546.34,1159.87,0.0,50.0
1546.78,1159.83,0.0,50.0
1547.66,1159.75,0.0,50.0
1548.55,1159.67,0.0,50.0
1549.43,1159.59,0.0,50.0
1550.31,1159.51,0.0,50.0
1550.74,1159.47,0.0,50.0
1551.62,1159.39,0.0,50.0
1552.5,1159.32,0.0,50.0
1553.38,1159.24,0.0,50.0
1554.26,1159.17,0.0,50.0
1554.7,1159.13,0.0,50.0
1555.58,1159.06,0.0,50.0
1556.47,1158.98,0.0,50.0
1557.35,1158.91,0.0,50.0
1558.23,1158.84,0.0,50.0
1558.67,1158.81,0.0,50.0
1559.55,1158.74,0.0,50.0
1560.43,1158.67,0.0,50.0
1561.32,1158.6,0.0,50.0
1562.2,1158.53,0.0,50.0
1562.64,1158.49,0.0,50.0
1563.52,1158.42,0.0,50.0
1564.4,1158.35,0.0,50.0
1565.29,1158.28,0.0,50.0
1566.17,1158.21,0.0,50.0
1566.61,1158.18,0.0,50.0
1567.49,1158.12,0.0,50.0
1568.37,1158.05,0.0,50.0
1569.25,1157.99,0.0,50.0
1570.13,1157.93,0.0,50.0
1570.58,1157.9,0.0,50.0
1571.46,1157.84,0.0,50.0
1572.34,1157.77,0.0,50.0
1573.22,1157.71,0.0,50.0
1573.66,1157.68,0.0,50.0
1574.54,1157.62,0.0,50.0
1575.42,1157.56,0.0,50.0
1576.31,1157.49,0.0,50.0
1577.19,1157.43,0.0,50.0
1577.63,1157.4,0.0,50.0
1578.51,1157.34,0.0,50.0
1579.4,1157.28,0.0,50.0
1580.28,1157.22,0.0,50.0
